Member_number,Date,Items
1964,23-03-2014,"['tropical fruit', 'other vegetables']"
1964,30-08-2014,"['shopping bags', 'pickled vegetables']"
1965,02-01-2014,"['chewing gum', 'yogurt']"
1965,04-08-2015,"['hamburger meat', 'other vegetables']"
1966,10-10-2014,"['whole milk', 'bottled water']"
1966,14-02-2014,"['vinegar', 'grapes', 'frozen vegetables']"
1966,15-02-2014,"['other vegetables', 'meat spreads', 'specialty cheese']"
1966,18-08-2014,"['canned beer', 'yogurt']"
1966,20-09-2014,"['cream cheese ', 'white bread']"
1966,23-09-2014,"['rolls/buns', 'hard cheese']"
1966,23-10-2014,"['other vegetables', 'white bread']"
1967,03-09-2015,"['frankfurter', 'onions']"
1967,03-11-2014,"['fruit/vegetable juice', 'dental care']"
1967,07-10-2014,"['other vegetables', 'soda']"
1967,20-01-2015,"['other vegetables', 'whole milk', 'brown bread', 'hard cheese', 'waffles']"
1967,23-06-2015,"['whole milk', 'seasonal products']"
1967,27-10-2015,"['sausage', 'grapes']"
1968,03-10-2015,"['pastry', 'whole milk', 'citrus fruit', 'newspapers']"
1968,10-01-2015,"['zwieback', 'tropical fruit']"
1968,16-02-2015,"['whole milk', 'frozen meals']"
1968,21-08-2015,"['hard cheese', 'margarine', 'rolls/buns']"
1969,05-01-2014,"['other vegetables', 'jam', 'cat food', 'fruit/vegetable juice']"
1969,10-02-2014,"['pork', 'rolls/buns']"
1969,11-02-2015,"['citrus fruit', 'other vegetables', 'frozen vegetables', 'waffles']"
1969,23-07-2015,"['sausage', 'citrus fruit']"
1969,28-08-2014,"['other vegetables', 'bottled beer']"
1970,05-06-2014,"['brown bread', 'whole milk', 'white bread']"
1970,11-06-2014,"['ham', 'pastry']"
1970,22-02-2014,"['soda', 'curd']"
1970,29-01-2014,"['citrus fruit', 'whipped/sour cream']"
1971,16-08-2015,"['sausage', 'fruit/vegetable juice']"
1971,18-09-2015,"['sausage', 'curd', 'bottled water', 'frozen meals']"
1971,28-05-2014,"['white wine', 'dessert']"
1972,02-05-2014,"['bottled beer', 'whipped/sour cream']"
1972,02-06-2015,"['pork', 'pasta', 'fruit/vegetable juice']"
1973,24-10-2015,"['beef', 'specialty chocolate']"
1974,03-05-2015,"['packaged fruit/vegetables', 'fish', 'frozen meals', 'specialty chocolate', 'brown bread']"
1975,09-01-2014,"['rolls/buns', 'soups']"
1975,26-09-2015,"['yogurt', 'root vegetables']"
1976,14-10-2015,"['other vegetables', 'root vegetables', 'bottled water']"
1977,12-01-2015,"['whole milk', 'beef', 'canned beer']"
1978,06-03-2015,"['beef', 'brown bread']"
1978,15-10-2014,"['turkey', 'yogurt']"
1978,22-02-2014,"['yogurt', 'cookware']"
1979,07-08-2014,"['beef', 'whole milk', 'detergent']"
1979,07-09-2014,"['root vegetables', 'whole milk']"
1979,09-05-2014,"['white bread', 'bottled water']"
1979,09-09-2015,"['pork', 'frozen vegetables']"
1979,12-04-2014,"['brown bread', 'brown bread']"
1979,16-12-2014,"['salty snack', 'butter milk']"
1979,20-11-2015,"['yogurt', 'frozen meals']"
1979,21-11-2015,"['pastry', 'herbs']"
1980,12-09-2014,"['domestic eggs', 'frozen vegetables']"
1980,14-05-2014,"['citrus fruit', 'berries']"
1980,15-10-2015,"['bottled water', 'brown bread']"
1980,17-07-2014,"['salty snack', 'chocolate marshmallow']"
1980,21-11-2014,"['white bread', 'flour']"
1981,01-11-2014,"['whole milk', 'fruit/vegetable juice']"
1981,31-10-2015,"['chicken', 'specialty chocolate']"
1982,12-10-2014,"['liqueur', 'chocolate']"
1982,14-12-2015,"['coffee', 'butter']"
1982,24-02-2015,"['tropical fruit', 'butter', 'frozen fruits']"
1983,02-10-2014,"['margarine', 'bathroom cleaner']"
1983,06-07-2015,"['berries', 'hamburger meat']"
1983,09-08-2015,"['sausage', 'pastry', 'ice cream']"
1983,19-05-2014,"['hamburger meat', 'whole milk']"
1983,20-05-2015,"['soda', 'white wine', 'processed cheese']"
1983,21-07-2014,"['whole milk', 'whole milk']"
1983,26-06-2014,"['pip fruit', 'rolls/buns']"
1985,06-06-2014,"['butter milk', 'bottled water']"
1985,18-05-2014,"['sausage', 'whole milk', 'dessert']"
1985,26-11-2015,"['bottled water', 'whole milk', 'rolls/buns']"
1987,15-10-2015,"['citrus fruit', 'pork', 'napkins', 'domestic eggs']"
1987,26-12-2014,"['chocolate', 'long life bakery product']"
1987,29-10-2014,"['rolls/buns', 'yogurt', 'fruit/vegetable juice']"
1988,08-09-2015,"['bottled beer', 'grapes', 'other vegetables', 'bottled water']"
1988,30-03-2014,"['whipped/sour cream', 'curd']"
1989,09-09-2015,"['soda', 'mustard']"
1990,01-08-2015,"['citrus fruit', 'tropical fruit']"
1990,07-03-2014,"['rolls/buns', 'whole milk']"
1990,26-06-2014,"['yogurt', 'flower (seeds)']"
1991,09-12-2015,"['citrus fruit', 'other vegetables']"
1991,10-02-2015,"['pork', 'specialty bar', 'soda']"
1991,12-03-2014,"['tropical fruit', 'coffee']"
1991,13-05-2014,"['soda', 'newspapers', 'long life bakery product']"
1991,14-07-2014,"['sausage', 'yogurt']"
1991,22-10-2015,"['chicken', 'nuts/prunes']"
1991,23-12-2014,"['bottled beer', 'soap']"
1991,25-12-2014,"['butter', 'flour', 'fruit/vegetable juice', 'fruit/vegetable juice']"
1991,31-10-2014,"['white wine', 'butter', 'frozen fish']"
1992,02-08-2015,"['rolls/buns', 'seasonal products', 'other vegetables', 'white bread']"
1992,04-01-2015,"['beef', 'beef']"
1992,28-08-2015,"['pastry', 'rolls/buns']"
1993,08-07-2015,"['tropical fruit', 'pip fruit', 'root vegetables', 'pet care']"
1993,12-10-2014,"['chicken', 'rolls/buns']"
1993,22-05-2015,"['root vegetables', 'curd', 'waffles']"
1994,05-10-2015,"['canned beer', 'bottled beer', 'yogurt', 'fruit/vegetable juice']"
1994,11-03-2015,"['whole milk', 'whole milk', 'whole milk', 'pip fruit', 'waffles', 'whole milk', 'coffee', 'chocolate']"
1994,21-07-2014,"['soda', 'bottled beer']"
1995,02-07-2014,"['frozen meals', 'frozen dessert']"
1995,04-11-2014,"['other vegetables', 'fruit/vegetable juice', 'white bread']"
1995,12-06-2015,"['soft cheese', 'soda', 'root vegetables', 'root vegetables', 'rolls/buns', 'root vegetables', 'margarine', 'shopping bags']"
1995,14-06-2014,"['other vegetables', 'yogurt']"
1995,29-10-2014,"['pet care', 'brown bread']"
1996,02-02-2014,"['domestic eggs', 'whipped/sour cream']"
1996,09-06-2014,"['rolls/buns', 'yogurt']"
1996,10-05-2015,"['canned beer', 'roll products ', 'root vegetables', 'flower (seeds)']"
1996,22-09-2014,"['rolls/buns', 'soda']"
1997,06-06-2015,"['frankfurter', 'berries', 'bottled water', 'processed cheese', 'pickled vegetables']"
1997,20-08-2015,"['ham', 'newspapers', 'bottled beer']"
1997,21-07-2015,"['frankfurter', 'soda', 'canned beer', 'white bread', 'brown bread']"
1997,26-10-2015,"['citrus fruit', 'pip fruit', 'beverages']"
1997,28-12-2015,"['cleaner', 'pip fruit', 'pastry']"
1997,30-10-2014,"['shopping bags', 'soda']"
1998,03-02-2014,"['frozen vegetables', 'pot plants']"
1998,10-02-2014,"['candles', 'chewing gum']"
1998,10-11-2014,"['root vegetables', 'whipped/sour cream']"
1998,13-10-2014,"['ice cream', 'pork']"
1998,14-06-2014,"['citrus fruit', 'sauces']"
1998,15-02-2014,"['misc. beverages', 'whipped/sour cream', 'pastry']"
1998,15-05-2015,"['root vegetables', 'citrus fruit', 'whole milk', 'chewing gum']"
1998,18-05-2015,"['canned beer', 'whole milk', 'frankfurter', 'frankfurter', 'dishes', 'rolls/buns', 'pip fruit', 'canned vegetables']"
1998,22-02-2014,"['whipped/sour cream', 'waffles']"
1999,02-04-2014,"['brown bread', 'white wine']"
1999,24-08-2015,"['rolls/buns', 'misc. beverages', 'ice cream', 'tropical fruit', 'shopping bags', 'coffee', 'popcorn', 'hygiene articles']"
1999,30-04-2014,"['soft cheese', 'frozen vegetables', 'cream cheese ']"
1999,31-05-2014,"['tropical fruit', 'butter', 'dog food']"
2000,04-07-2014,"['dish cleaner', 'bottled beer', 'fruit/vegetable juice']"
2000,23-08-2015,"['bottled beer', 'sparkling wine', 'hamburger meat', 'rolls/buns']"
2001,03-03-2015,"['citrus fruit', 'citrus fruit', 'other vegetables', 'whole milk']"
2001,05-02-2014,"['root vegetables', 'yogurt', 'chocolate', 'shopping bags']"
2001,09-09-2015,"['bottled water', 'other vegetables']"
2001,14-11-2014,"['beef', 'napkins']"
2001,18-10-2014,"['butter milk', 'butter']"
2001,21-08-2015,"['rolls/buns', 'cereals']"
2001,28-01-2015,"['beef', 'processed cheese', 'other vegetables', 'spices']"
2002,20-10-2015,"['pork', 'meat', 'rolls/buns', 'onions', 'frozen vegetables', 'root vegetables', 'beverages']"
2003,23-11-2015,"['sausage', 'frozen dessert', 'brown bread', 'other vegetables']"
2003,30-11-2014,"['liquor', 'baking powder']"
2004,08-01-2015,"['beef', 'other vegetables']"
2004,09-05-2014,"['tropical fruit', 'butter']"
2004,14-09-2014,"['pip fruit', 'beverages', 'pastry']"
2004,21-08-2015,"['yogurt', 'hamburger meat', 'other vegetables', 'mustard']"
2004,22-06-2014,"['grapes', 'cream cheese ']"
2005,18-10-2014,"['mustard', 'yogurt', 'cat food', 'bottled beer']"
2005,20-04-2015,"['pork', 'yogurt', 'soda']"
2005,22-09-2015,"['bottled beer', 'jam', 'male cosmetics', 'dessert']"
2005,22-11-2014,"['brown bread', 'rolls/buns']"
2006,08-12-2015,"['frankfurter', 'coffee']"
2006,26-10-2014,"['pot plants', 'frozen potato products']"
2007,23-11-2015,"['cream cheese ', 'whole milk', 'brown bread', 'whole milk']"
2007,28-08-2015,"['dessert', 'photo/film']"
2008,17-03-2014,"['root vegetables', 'soda']"
2008,21-10-2015,"['whole milk', 'soda']"
2008,30-08-2015,"['domestic eggs', 'mayonnaise']"
2009,03-06-2014,"['pork', 'pastry']"
2009,11-10-2015,"['tropical fruit', 'soda']"
2009,11-12-2014,"['rolls/buns', 'prosecco']"
2010,06-01-2014,"['other vegetables', 'yogurt']"
2010,06-11-2015,"['soda', 'whole milk', 'soda', 'specialty bar', 'bottled water']"
2010,17-05-2014,"['shopping bags', 'soda']"
2010,19-12-2015,"['yogurt', 'root vegetables', 'waffles']"
2011,14-08-2014,"['yogurt', 'soda']"
2011,16-04-2014,"['mayonnaise', 'shopping bags']"
2011,18-05-2014,"['liquor', 'soda']"
2011,20-01-2014,"['whipped/sour cream', 'fruit/vegetable juice']"
2011,22-03-2015,"['frankfurter', 'pip fruit', 'rolls/buns', 'onions']"
2011,22-12-2015,"['soda', 'other vegetables']"
2011,23-12-2015,"['UHT-milk', 'candles']"
2011,25-09-2014,"['beverages', 'yogurt']"
2012,04-08-2014,"['bottled water', 'butter milk']"
2012,29-03-2015,"['rolls/buns', 'cling film/bags']"
2013,07-02-2015,"['UHT-milk', 'other vegetables']"
2013,26-12-2014,"['yogurt', 'onions']"
2013,30-08-2015,"['packaged fruit/vegetables', 'rolls/buns', 'domestic eggs']"
2014,07-06-2014,"['dessert', 'brown bread']"
2014,07-09-2014,"['dessert', 'frozen vegetables']"
2014,08-08-2014,"['other vegetables', 'white bread', 'soft cheese']"
2014,08-10-2014,"['yogurt', 'bottled water']"
2014,18-07-2014,"['whole milk', 'cake bar']"
2014,19-12-2014,"['pip fruit', 'yogurt', 'syrup']"
2014,21-04-2014,"['yogurt', 'coffee']"
2014,23-06-2015,"['ice cream', 'yogurt', 'oil']"
2015,04-08-2014,"['tropical fruit', 'soda']"
2015,12-05-2015,"['pork', 'rum']"
2016,15-08-2015,"['sugar', 'berries']"
2016,18-09-2014,"['pip fruit', 'whipped/sour cream']"
2017,07-10-2014,"['dog food', 'coffee', 'seasonal products']"
2017,12-11-2014,"['tropical fruit', 'waffles']"
2017,14-02-2015,"['pip fruit', 'chocolate']"
2017,19-02-2015,"['nuts/prunes', 'white wine']"
2017,23-09-2014,"['whole milk', 'whipped/sour cream']"
2017,23-10-2015,"['chicken', 'UHT-milk']"
2017,23-12-2014,"['root vegetables', 'bottled beer', 'bottled water']"
2018,04-01-2015,"['frozen meals', 'rolls/buns', 'canned beer', 'coffee', 'soda']"
2018,05-02-2014,"['tropical fruit', 'rolls/buns']"
2018,13-04-2014,"['frozen potato products', 'bottled beer']"
2018,20-04-2015,"['chicken', 'curd']"
2018,25-08-2015,"['waffles', 'chocolate']"
2019,06-12-2014,"['tropical fruit', 'frozen meals', 'fruit/vegetable juice']"
2019,08-09-2015,"['sausage', 'other vegetables']"
2019,09-10-2015,"['sausage', 'salty snack', 'brown bread', 'white bread', 'candles']"
2019,10-06-2014,"['citrus fruit', 'candy']"
2019,14-11-2015,"['whipped/sour cream', 'other vegetables']"
2019,18-02-2015,"['frankfurter', 'flour']"
2019,28-05-2015,"['citrus fruit', 'waffles']"
2020,01-02-2014,"['beef', 'fruit/vegetable juice']"
2020,11-04-2014,"['hamburger meat', 'rolls/buns']"
2020,19-11-2015,"['sausage', 'sliced cheese', 'yogurt', 'pastry', 'hygiene articles']"
2021,12-01-2015,"['meat', 'whole milk']"
2022,03-06-2015,"['rolls/buns', 'other vegetables', 'soft cheese']"
2022,04-03-2015,"['herbs', 'pork', 'sugar', 'hard cheese', 'long life bakery product']"
2022,05-02-2015,"['frankfurter', 'fruit/vegetable juice', 'hard cheese', 'whole milk', 'rolls/buns']"
2022,22-07-2015,"['sausage', 'beef', 'white wine', 'other vegetables']"
2022,23-02-2014,"['cat food', 'yogurt', 'candy']"
2022,28-03-2014,"['curd cheese', 'newspapers', 'UHT-milk']"
2023,07-02-2015,"['tropical fruit', 'hard cheese']"
2023,31-03-2014,"['spread cheese', 'other vegetables']"
2023,31-08-2015,"['citrus fruit', 'bottled beer', 'roll products ']"
2024,17-05-2014,"['margarine', 'canned beer']"
2024,21-07-2014,"['dessert', 'yogurt']"
2025,04-09-2014,"['cat food', 'whole milk']"
2025,13-11-2014,"['coffee', 'bottled beer']"
2025,31-05-2014,"['hamburger meat', 'pastry', 'cake bar', 'brown bread']"
2026,07-01-2014,"['other vegetables', 'margarine']"
2026,14-11-2014,"['misc. beverages', 'napkins']"
2027,09-10-2014,"['rolls/buns', 'cling film/bags']"
2027,26-02-2014,"['frozen meals', 'domestic eggs', 'domestic eggs']"
2028,01-03-2015,"['coffee', 'frozen vegetables']"
2028,02-05-2014,"['dessert', 'flower (seeds)']"
2028,20-12-2015,"['coffee', 'root vegetables', 'bottled beer']"
2028,22-08-2014,"['ham', 'salt']"
2028,26-10-2014,"['canned beer', 'specialty bar']"
2028,29-10-2014,"['meat', 'shopping bags']"
2029,08-07-2015,"['frankfurter', 'rolls/buns']"
2029,15-07-2014,"['other vegetables', 'cake bar']"
2029,21-10-2014,"['beef', 'ice cream', 'dish cleaner']"
2029,26-08-2014,"['sugar', 'whole milk']"
2029,27-05-2014,"['yogurt', 'bottled water']"
2030,04-09-2015,"['soda', 'soda', 'salty snack']"
2030,06-09-2014,"['shopping bags', 'newspapers']"
2030,29-01-2014,"['soap', 'berries']"
2031,05-07-2014,"['other vegetables', 'whole milk']"
2031,08-01-2014,"['rolls/buns', 'detergent']"
2031,20-03-2014,"['ham', 'bottled water']"
2031,26-02-2015,"['sausage', 'frankfurter', 'grapes', 'sausage', 'dog food', 'misc. beverages', 'napkins', 'artif. sweetener']"
2032,03-02-2014,"['whipped/sour cream', 'soda']"
2032,28-07-2015,"['pork', 'tropical fruit', 'dessert', 'meat spreads', 'whole milk']"
2033,05-04-2014,"['yogurt', 'sweet spreads', 'canned beer', 'pot plants']"
2033,14-02-2015,"['beef', 'meat spreads']"
2033,22-10-2014,"['berries', 'herbs']"
2033,29-11-2014,"['processed cheese', 'hamburger meat', 'whole milk']"
2034,11-10-2015,"['frankfurter', 'butter milk']"
2034,22-12-2014,"['meat', 'rolls/buns']"
2034,28-06-2014,"['shopping bags', 'UHT-milk']"
2035,01-07-2014,"['rice', 'jam']"
2035,10-08-2014,"['white bread', 'frozen vegetables']"
2035,23-12-2015,"['other vegetables', 'sausage', 'beef', 'whole milk', 'prosecco', 'ice cream', 'waffles']"
2036,02-02-2014,"['whole milk', 'soda']"
2036,20-07-2014,"['whipped/sour cream', 'soda']"
2036,27-08-2014,"['ice cream', 'onions']"
2037,05-05-2014,"['citrus fruit', 'curd', 'napkins']"
2037,13-04-2014,"['beef', 'domestic eggs']"
2037,19-04-2015,"['organic sausage', 'grapes', 'pastry']"
2038,04-02-2014,"['pastry', 'soda']"
2038,14-10-2014,"['sauces', 'rolls/buns']"
2038,17-05-2015,"['rolls/buns', 'whole milk']"
2038,23-07-2014,"['pip fruit', 'pastry']"
2038,28-10-2014,"['beef', 'rolls/buns']"
2039,18-06-2015,"['bottled beer', 'oil']"
2039,22-09-2015,"['oil', 'sparkling wine']"
2040,01-05-2014,"['rolls/buns', 'packaged fruit/vegetables']"
2040,06-04-2015,"['chicken', 'oil', 'chocolate', 'candy']"
2040,07-10-2015,"['beverages', 'sugar']"
2040,10-04-2014,"['newspapers', 'hard cheese']"
2040,31-05-2015,"['ham', 'tropical fruit', 'popcorn']"
2040,31-07-2014,"['canned beer', 'white bread']"
2041,08-04-2014,"['soda', 'rolls/buns', 'soda']"
2041,09-02-2014,"['condensed milk', 'rolls/buns']"
2041,09-05-2014,"['margarine', 'long life bakery product']"
2041,10-09-2014,"['dessert', 'zwieback']"
2041,17-07-2015,"['detergent', 'liquor (appetizer)']"
2041,19-06-2014,"['root vegetables', 'yogurt']"
2041,24-09-2015,"['grapes', 'grapes']"
2042,10-09-2014,"['pip fruit', 'other vegetables']"
2042,17-04-2014,"['tropical fruit', 'shopping bags', 'cream cheese ', 'pasta']"
2042,17-11-2015,"['yogurt', 'root vegetables']"
2042,19-11-2015,"['meat', 'pork']"
2042,19-12-2014,"['curd', 'newspapers']"
2042,31-08-2014,"['hygiene articles', 'brown bread']"
2043,01-02-2014,"['waffles', 'brown bread']"
2043,03-02-2014,"['other vegetables', 'curd']"
2043,07-03-2015,"['bottled water', 'rolls/buns']"
2043,07-07-2014,"['shopping bags', 'fruit/vegetable juice']"
2043,21-04-2015,"['tropical fruit', 'other vegetables', 'pastry', 'tropical fruit', 'long life bakery product', 'bottled water', 'UHT-milk', 'fruit/vegetable juice']"
2044,16-12-2015,"['meat', 'semi-finished bread']"
2044,17-03-2014,"['yogurt', 'butter', 'whole milk']"
2044,26-09-2015,"['domestic eggs', 'shopping bags']"
2044,26-11-2014,"['pip fruit', 'pastry']"
2045,02-04-2014,"['tropical fruit', 'other vegetables', 'soft cheese']"
2045,05-04-2014,"['whole milk', 'pickled vegetables']"
2045,07-12-2015,"['pork', 'grapes']"
2045,09-07-2014,"['frozen vegetables', 'whole milk']"
2045,10-02-2014,"['soda', 'brandy']"
2045,11-04-2014,"['yogurt', 'whole milk']"
2045,16-08-2015,"['pork', 'sweet spreads']"
2046,21-08-2015,"['dessert', 'pork']"
2046,28-02-2015,"['pork', 'bottled water', 'tea']"
2047,05-01-2014,"['tropical fruit', 'cat food']"
2047,08-05-2015,"['meat', 'canned beer', 'soda']"
2047,12-05-2014,"['sausage', 'newspapers']"
2047,20-12-2015,"['pip fruit', 'frozen vegetables', 'bottled water']"
2047,28-04-2014,"['waffles', 'semi-finished bread']"
2048,07-11-2014,"['root vegetables', 'fruit/vegetable juice']"
2048,16-12-2015,"['pork', 'sugar']"
2048,17-12-2014,"['rolls/buns', 'other vegetables']"
2048,24-02-2014,"['semi-finished bread', 'pip fruit']"
2048,24-11-2014,"['whole milk', 'berries']"
2048,30-10-2014,"['hamburger meat', 'frozen vegetables']"
2049,02-04-2014,"['other vegetables', 'other vegetables', 'whole milk']"
2049,02-09-2014,"['ham', 'dessert']"
2049,06-01-2015,"['pork', 'grapes']"
2049,07-10-2015,"['tropical fruit', 'whole milk']"
2050,20-10-2014,"['UHT-milk', 'rolls/buns']"
2050,28-06-2015,"['whipped/sour cream', 'other vegetables']"
2051,01-05-2014,"['flour', 'cream cheese ']"
2051,02-01-2015,"['photo/film', 'domestic eggs', 'cocoa drinks']"
2051,03-12-2014,"['rolls/buns', 'other vegetables', 'newspapers']"
2051,11-09-2015,"['frankfurter', 'frankfurter', 'long life bakery product', 'newspapers', 'pip fruit', 'whipped/sour cream', 'hygiene articles']"
2051,14-11-2015,"['canned beer', 'beef', 'whole milk', 'coffee']"
2051,20-01-2014,"['meat', 'rolls/buns']"
2051,20-04-2015,"['whole milk', 'pork', 'brown bread', 'other vegetables']"
2051,23-07-2015,"['other vegetables', 'beverages', 'fruit/vegetable juice', 'prosecco', 'other vegetables', 'ice cream', 'soda', 'root vegetables']"
2053,17-09-2015,"['cereals', 'cream cheese ', 'other vegetables']"
2053,19-08-2014,"['rolls/buns', 'soda']"
2053,21-09-2015,"['citrus fruit', 'yogurt', 'rolls/buns']"
2054,06-08-2014,"['white bread', 'liquor (appetizer)', 'shopping bags']"
2054,15-12-2015,"['butter', 'citrus fruit', 'margarine', 'soda', 'whole milk', 'roll products ']"
2054,21-11-2014,"['yogurt', 'chewing gum', 'shopping bags']"
2055,02-05-2015,"['sausage', 'beverages']"
2055,04-02-2015,"['newspapers', 'chicken', 'pip fruit']"
2055,07-07-2015,"['photo/film', 'other vegetables']"
2055,07-11-2014,"['brown bread', 'domestic eggs']"
2055,08-11-2015,"['other vegetables', 'sugar']"
2055,14-12-2014,"['sausage', 'soda', 'newspapers']"
2055,31-05-2014,"['yogurt', 'rolls/buns', 'soda']"
2056,03-07-2015,"['beef', 'bottled water', 'soda']"
2056,14-05-2014,"['processed cheese', 'canned vegetables']"
2056,19-12-2014,"['hard cheese', 'flower soil/fertilizer', 'condensed milk', 'curd']"
2056,21-05-2014,"['root vegetables', 'whole milk', 'potato products']"
2056,24-11-2015,"['newspapers', 'root vegetables', 'pastry', 'margarine']"
2056,26-12-2014,"['citrus fruit', 'soda']"
2057,13-11-2015,"['citrus fruit', 'soda', 'shopping bags']"
2057,16-04-2014,"['tropical fruit', 'UHT-milk']"
2058,02-04-2014,"['rolls/buns', 'other vegetables']"
2058,04-06-2015,"['soda', 'chocolate marshmallow', 'fruit/vegetable juice']"
2058,08-05-2014,"['frozen vegetables', 'pip fruit', 'hygiene articles']"
2058,24-02-2015,"['yogurt', 'other vegetables', 'red/blush wine', 'domestic eggs']"
2059,07-09-2014,"['whole milk', 'napkins']"
2059,15-03-2014,"['sausage', 'curd', 'yogurt']"
2059,17-02-2014,"['tropical fruit', 'long life bakery product']"
2059,31-05-2014,"['ham', 'domestic eggs']"
2060,25-05-2014,"['salty snack', 'soups', 'brown bread']"
2060,26-07-2015,"['pip fruit', 'specialty fat']"
2061,05-04-2015,"['misc. beverages', 'whole milk']"
2061,12-02-2015,"['beef', 'flower (seeds)']"
2061,15-12-2015,"['sausage', 'sparkling wine']"
2061,27-12-2015,"['tropical fruit', 'tropical fruit', 'tropical fruit', 'long life bakery product', 'soda']"
2062,03-09-2015,"['pork', 'bottled beer']"
2062,22-08-2014,"['domestic eggs', 'whole milk', 'onions', 'misc. beverages']"
2062,22-09-2015,"['whole milk', 'shopping bags']"
2063,02-06-2014,"['brandy', 'pastry']"
2063,08-11-2015,"['frankfurter', 'sliced cheese', 'sugar']"
2063,10-09-2015,"['newspapers', 'soups']"
2063,23-08-2015,"['sausage', 'cream cheese ']"
2063,26-05-2014,"['onions', 'other vegetables']"
2063,27-11-2015,"['root vegetables', 'herbs']"
2064,06-04-2014,"['salad dressing', 'hard cheese']"
2064,18-03-2014,"['pork', 'oil']"
2064,21-08-2015,"['whole milk', 'rolls/buns', 'ice cream', 'brown bread']"
2065,01-03-2014,"['sausage', 'white bread']"
2065,20-07-2014,"['specialty bar', 'pastry']"
2065,20-10-2014,"['soda', 'sugar']"
2065,22-01-2015,"['pip fruit', 'other vegetables', 'coffee']"
2065,28-01-2014,"['soda', 'other vegetables']"
2065,28-11-2014,"['waffles', 'whipped/sour cream', 'soda']"
2066,05-02-2014,"['frozen vegetables', 'flour', 'pickled vegetables']"
2066,21-05-2015,"['pip fruit', 'zwieback']"
2066,23-03-2015,"['whole milk', 'yogurt', 'pasta']"
2066,29-12-2014,"['specialty chocolate', 'yogurt', 'hard cheese', 'pastry']"
2067,03-07-2014,"['canned beer', 'brown bread']"
2067,05-04-2014,"['beverages', 'bottled water', 'yogurt']"
2067,10-10-2014,"['jam', 'root vegetables']"
2067,12-08-2015,"['root vegetables', 'meat']"
2068,02-06-2014,"['yogurt', 'specialty vegetables']"
2068,07-04-2015,"['sausage', 'rolls/buns']"
2068,07-06-2015,"['frankfurter', 'whole milk']"
2068,21-07-2014,"['female sanitary products', 'cleaner', 'coffee', 'sauces']"
2068,22-08-2014,"['whole milk', 'rolls/buns']"
2069,02-07-2015,"['chicken', 'fruit/vegetable juice']"
2069,10-02-2015,"['pork', 'specialty chocolate']"
2069,10-06-2014,"['root vegetables', 'napkins']"
2069,12-11-2014,"['canned fish', 'newspapers']"
2069,16-03-2015,"['citrus fruit', 'sugar']"
2070,13-04-2014,"['skin care', 'oil']"
2070,16-07-2015,"['frankfurter', 'oil', 'soda']"
2070,16-08-2015,"['ice cream', 'pip fruit']"
2070,19-12-2015,"['baby cosmetics', 'bottled water']"
2070,20-12-2014,"['pot plants', 'frozen dessert']"
2070,24-03-2015,"['citrus fruit', 'yogurt', 'citrus fruit', 'other vegetables']"
2070,27-04-2014,"['root vegetables', 'domestic eggs', 'cake bar', 'napkins']"
2070,28-06-2015,"['sausage', 'spread cheese', 'bottled water']"
2070,29-03-2014,"['pip fruit', 'candy']"
2071,14-10-2015,"['beef', 'whole milk']"
2071,24-03-2014,"['citrus fruit', 'specialty bar', 'Instant food products', 'jam']"
2071,30-09-2015,"['whole milk', 'canned beer']"
2071,31-07-2014,"['pip fruit', 'butter']"
2072,12-08-2014,"['processed cheese', 'chocolate', 'chocolate', 'yogurt']"
2072,18-02-2014,"['newspapers', 'salty snack']"
2072,19-02-2015,"['pip fruit', 'root vegetables']"
2072,28-11-2015,"['frankfurter', 'other vegetables']"
2072,29-07-2014,"['root vegetables', 'chewing gum', 'margarine']"
2073,04-02-2015,"['sausage', 'whole milk']"
2073,14-05-2015,"['tropical fruit', 'herbs']"
2073,18-06-2015,"['frankfurter', 'domestic eggs']"
2073,30-04-2015,"['rolls/buns', 'canned fish', 'chocolate']"
2074,10-04-2015,"['citrus fruit', 'canned beer', 'waffles', 'chocolate', 'dish cleaner']"
2074,20-12-2015,"['bottled water', 'UHT-milk']"
2074,23-01-2015,"['oil', 'chicken']"
2074,27-08-2014,"['other vegetables', 'candy']"
2075,03-05-2014,"['citrus fruit', 'rolls/buns']"
2075,06-05-2014,"['sausage', 'soda']"
2075,20-01-2015,"['baking powder', 'root vegetables']"
2076,04-12-2015,"['frankfurter', 'margarine']"
2076,06-09-2014,"['hygiene articles', 'rolls/buns']"
2076,13-10-2014,"['bottled beer', 'whole milk']"
2076,14-01-2014,"['softener', 'salty snack']"
2077,01-03-2015,"['beef', 'whole milk']"
2077,07-05-2015,"['bottled water', 'roll products ', 'butter', 'coffee', 'rum']"
2077,15-05-2015,"['chicken', 'citrus fruit', 'butter', 'rolls/buns', 'soft cheese', 'specialty bar']"
2077,28-04-2014,"['male cosmetics', 'hard cheese']"
2078,14-05-2014,"['soda', 'shopping bags', 'cream cheese ']"
2078,16-10-2015,"['tropical fruit', 'pork', 'newspapers']"
2079,04-11-2014,"['tropical fruit', 'soda']"
2079,16-05-2015,"['soda', 'whole milk', 'shopping bags']"
2079,19-07-2015,"['curd', 'whole milk', 'pet care']"
2079,25-02-2014,"['sliced cheese', 'beverages', 'other vegetables', 'napkins']"
2079,26-08-2014,"['turkey', 'domestic eggs']"
